NAME;ZUSATZ;STRASSE;NUMMER;PLZ;STADT;LAND;ADRESS_TYP;REFERENZ
Chaostreff Flensburg e.V.;;Apenrader Str.;49;24939;Flensburg;DEU;HOUSE;Abbsender
IU Internationale Hochschule;;Juri-Gagarin-Ring;152;;;DEU;HOUSE;108364
FernUniversität in Hagen;;Universitätsstraße;47;58084;Hagen;DEU;HOUSE;62638
Ludwig-Maximilians-Universität München;;Geschwister-Scholl-Platz;1;;;DEU;HOUSE;51574
Universität zu Köln;;;Albertus-Magnus-Platz;50923;Köln;DEU;HOUSE;51195
FOM Hochschule für Oekonomie & Management - University of Applied Sciences;;Leimkugelstraße;6;;;DEU;HOUSE;50722
Technische Universität München;;Arcisstraße;21;;;DEU;HOUSE;49514
Rheinisch-Westfälische Technische Hochschule Aachen;;Templergraben;55;52056;Aachen;DEU;HOUSE;47302
Westfälische Wilhelms-Universität Münster;;Schlossplatz;2;;;DEU;HOUSE;43869
Johann Wolfgang Goethe-Universität, Frankfurt am Main;;Theodor-W.-Adorno-Platz;1;60054;Frankfurt am Main;DEU;HOUSE;42899
Universität Hamburg;;Mittelweg;177;;;DEU;HOUSE;42468
Freie Universität Berlin;;Kaiserswerther Str.;16-18;;;DEU;HOUSE;42063
Ruhr-Universität Bochum;;Universitätsstraße;150;44780;Bochum;DEU;HOUSE;41694
Universität Duisburg-Essen;;Universitätsstraße;2;45117;Essen;DEU;HOUSE;41237
Humboldt-Universität zu Berlin;;Unter den Linden;6;10099;Berlin;DEU;HOUSE;40514
Friedrich-Alexander-Universität Erlangen-Nürnberg;;Schlossplatz;4;91023;Erlangen;DEU;HOUSE;39053
Rheinische Friedrich-Wilhelms-Universität Bonn;;Regina-Pacis-Weg;3;53012;Bonn;DEU;HOUSE;36579
Technische Universität Berlin;;Straße des 17. Juni;135;;;DEU;HOUSE;35228
Heinrich-Heine-Universität Düsseldorf;;Universitätsstraße;1;;;DEU;HOUSE;33993
Technische Universität Dortmund;;August-Schmidt-Straße;4;44221;Dortmund;DEU;HOUSE;32240
Duale Hochschule Baden-Württemberg;;Friedrichstraße;14.;;;DEU;HOUSE;31767
Johannes Gutenberg-Universität Mainz;;Saarstraße;21;55099;Mainz;DEU;HOUSE;30136
Technische Universität Dresden;;Mommsenstraße;11;1062;Dresden;DEU;HOUSE;29954
Universität Leipzig;;Ritterstraße;26;4009;Leipzig;DEU;HOUSE;29746
Ruprecht-Karls-Universität Heidelberg;;Seminarstraße;2;69047;Heidelberg;DEU;HOUSE;29147
Gottfried Wilhelm Leibniz Universität Hannover;;Welfengarten;1;30060;Hannover;DEU;HOUSE;28078
Eberhard Karls Universität Tübingen;;;Geschwister-Scholl-Platz;;;DEU;HOUSE;28062
Georg-August-Universität Göttingen;;Wilhelmsplatz;1;37027;Göttingen;DEU;HOUSE;27871
Christian-Albrechts-Universität zu Kiel;;Christian-Albrechts-Platz;4;;;DEU;HOUSE;27152
Julius-Maximilians-Universität Würzburg;;Sanderring;2;;;DEU;HOUSE;26643
Justus-Liebig-Universität Gießen;;Ludwigstraße;23;35359;Gießen;DEU;HOUSE;26068
Universität Bielefeld;;Universitätsstraße;25;33501;Bielefeld;DEU;HOUSE;24555
Technische Universität Darmstadt;;Karolinenplatz;5;64277;Darmstadt;DEU;HOUSE;24405
Technische Hochschule Köln;;Claudiusstraße;1;;;DEU;HOUSE;24294
Albert-Ludwigs-Universität Freiburg im Breisgau;;;Fahnenbergplatz;79085;Freiburg;DEU;HOUSE;24187
